trigram,PaperID,reuse
language_system_umls,4253608092,1
unified_medical_language,4253608092,1
static_and_dynamic,2166769854,1
named_entity_tagging,2031868269,1
precision_and_recall,2031868269,2
understanding_of_human,1652999312,1
world_of_art,2074306890,1
opera_and_ballet,2074306890,1
foreign_language_annals,4231943345,1
culture_and_curriculum,4231943345,1
pdf_action_button,4231943345,1
assisted_language_learning,4249201210,1
source_of_information,2108444737,1
language_processing_nlp,2108444737,8
optimization_of_integrated,2060675278,1
algorithm_in_order,2042406963,1
citation_in_patent,1482688257,1
expressed_in_natural,2083347586,1
semantic_role_labeling,2126851059,1
web_question_answering,2075203807,1
domain_question_answering,2075203807,1
retrieval_and_text,2089530354,1
single-bit_spl_delta,2169714900,1
transfer_function_ntf,2169714900,1
cost_function_experiment,2169714900,1
single-loop_single-bit_spl,2169714900,1
delta_spl_sigma,2169714900,1
nonlinearly_constrained_programming,2169714900,1
spl_sigma_modulators,2169714900,1
spl_delta_spl,2169714900,1
sensitivity_and_power,2169714900,1
generic_modulator_architecture,2169714900,1
machine_learning_algorithm,2148959489,3
assist_collection_management,2011673793,1
management_a_qualitative,2011673793,1
term_of_cost,2065993148,1
world_wide_web,2109359515,2
nonlinear_programming_minlp,2023008338,2
nonlinear_model_predictive,1984663416,2
task_of_finding,2397559072,1
acquisition_of_knowledge,1493040495,1
point_of_view,2070042364,1
collection_of_text,2153979191,2
reduce_the_computational,2314363820,1
information_is_extracted,2171016843,1
prediction_of_protein,2171016843,1
ha_been_tested,2014761790,1
background_domain_knowledge,2014761790,1
latent_semantic_indexing,2086083453,2
legal_information_retrieval,4233996482,1
user_the_user,4237178566,1
learning_performance_ha,4237178566,1
matching_of_detailed,4237178566,1
detailed_user_preference,4237178566,1
regular_system_user,4237178566,1
delivery_of_textual,4237178566,1
collected_from_regular,4237178566,1
followed_by_matching,4237178566,1
feasible_and_optimal,1997762921,1
two-stage_stochastic_programming,1997762921,1
nonlinear_program_nlp,2051925924,1
order_to_solve,2069024774,1
lot_of_time,4242216182,1
graph_the_proposed,2104497174,1
factoid_question_answering,2124049214,1
supervised_machine_learning,2093961544,1
text_mining_biotm,1968102155,1
biomedical_text_mining,1968102155,1
order_to_extract,2067786375,2
mixed-integer_nonlinear_programming,2048330356,1
linear_programming_milp,2048330356,1
term_of_efficiency,2156613792,1
categorization_process_achieves,2156613792,1
efficiency_and_effectiveness,2156613792,1
integer_linear_programming,1979702444,1
semantic_indexing_lsi,2129305264,1
volume_of_visual,2129305264,1
exploit_a_natural,2123841154,1
framework_in_order,2123841154,1
predictive_control_nmpc,2083401763,1
friend_and_colleague,4252185802,1
learn_more_copy,4252185802,1
accessshare_full-text_accessplease,4252185802,1
citationadd_to_favoritestrack,4252185802,1
copy_url_share,4252185802,1
favoritestrack_citation_shareshare,4252185802,1
science_and_technologyvolume,4252185802,1
linkuse_the_link,4252185802,1
linkshare_onfacebooktwitterlinked_inredditwechat,4252185802,1
society_for_information,4252185802,1
share_a_full-text,4252185802,1
toolsrequest_permissionexport_citationadd,4252185802,1
wiley_online_library,4252185802,1
technologyvolume_61_issue,4252185802,1
accessshare_full_text,4252185802,1
textaboutpdf_toolsrequest_permissionexport,4252185802,1
share_full-text_version,4252185802,1
shareshare_give_accessshare,4252185802,1
online_library_term,4252185802,1
volume61_issue7july_2010pages,4252185802,1
text_accessshare_full-text,4252185802,1
share_a_linkshare,4252185802,1
