bigram,PaperID,reuse
frontal_lobe,2095520173,1
programming_language,1997960107,3
grammar_rule,1997960107,2
natural_language,1997960107,42
eng_chem,2001040729,1
doi_org,2001040729,6
yorick_wilks,60232461,1
practical_implication,2040407088,1
mathml_xmlns,2113608596,1
http_www,2113608596,3
xlink_http,2113608596,1
math_mathml,2113608596,1
etx_xmlns,2113608596,1
w3_org,2113608596,1
mml_http,2113608596,1
xmlns_mml,2113608596,1
www_w3,2113608596,1
xmlns_xlink,2113608596,1
knowledge_acquisition,2047642013,3
information_retrieval,2047642013,24
starting_point,1969835834,2
experimental_data,1969835834,1
small_perturbation,1969835834,1
machine_learning,4255665494,12
inequality_constraint,4242117347,2
quadratic_programming,4242117347,3
nonlinear_programming,4242117347,11
global_convergence,4242117347,2
programming_algorithm,4242117347,3
artificial_intelligence,2985774950,2
parameter_estimation,2159250466,2
medical_record,2091635908,1
knowledge_structure,2091635908,1
citation_shareshare,4235887881,1
structured_database,2136272467,1
text_corpus,2136272467,2
target_language,2136272467,1
machine_translation,2136272467,3
citation_alertsnew,2341078838,1
alertsnew_citation,2341078838,1
chosen_ha,2341078838,1
citation_alert,2341078838,1
massachusetts_amherst,2341078838,1
alert_ha,2341078838,1
alert_preference,2341078838,1
bindernamecancelcreateexport_citationpublisher,2341078838,1
information_extraction,2341078838,8
preference_click,2341078838,1
heat_exchanger,2054449314,1
structural_optimization,1964414043,2
feasible_direction,1964414043,3
better_utilisation,1969573631,1
neural_network,2050512925,1
systematic_methodology,2046449425,1
multiphase_reactor,2046449425,1
http_doi,4235459484,2
google_scholar,4235459484,1
learning_algorithm,2107223240,6
knowledge_source,2107223240,2
preference_dictionary,2107223240,1
sense_disambiguation,2107223240,5
source_semantic,2107223240,1
dictionary_definition,2107223240,1
domain_code,2107223240,1
all-word_disambiguation,2107223240,1
tag_optimised,2107223240,1
free_text,2107223240,4
sense_tagged,2107223240,2
resource_tested,2107223240,1
lexical_knowledge,2107223240,2
tagged_corpus,2107223240,2
restricting_oneself,2107223240,1
disambiguation_algorithm,2107223240,1
part-of-speech_tag,2107223240,1
semantic_preference,2107223240,1
proposed_algorithm,2017219217,10
knowledge_representation,1576705061,6
world_knowledge,1576705061,1
stochastic_optimisation,2004844250,1
combine_stochastic,2004844250,1
parliamentary_election,2060480925,1
source_code,2014481668,3
stochastic_optimization,2091830584,2
optimal_synthesis,2091830584,1
genetic_algorithm,2091830584,2
reaction_network,1993781803,1
direction_mfd,1517219963,1
norm-relaxed_mfd,1517219963,1
information_source,1971954723,1
web_information,1971954723,1
web_page,1971954723,5
web_site,1971954723,2
mining_algorithm,1971954723,1
information_mining,1971954723,1
language_interface,2127751640,2
internet_search,2127751640,1
search_engine,2127751640,6
semantic_indexing,2161893466,3
called_semantic,2161893466,1
semantic_representation,2161893466,2
constraint_qualification,2017558614,1
nonlinear_program,2017558614,3
exact_penalty,2017558614,1
sequential_quadratic,2017558614,2
english_language,2011521987,1
automatic_scoring,2011521987,2
game_playing,2099913225,1
lexical_semantics,2016335896,1
semantic_information,2016335896,9
european_language,2016335896,2
unified_medical,4253608092,1
medical_language,4253608092,1
ha_resulted,4253608092,1
lexical_rule,2166769854,1
generative_lexicon,2166769854,1
potentially_interesting,1985039455,1
news_story,2094661073,2
news_topic,2094661073,1
sequence_profile,2136495792,1
entity_tagging,2031868269,1
biological_database,2031868269,1
training_data,2031868269,4
named_entity,2031868269,2
identifying_potentially,2093756022,1
foreign_language,2022083943,3
ha_concentrated,2097883024,1
english_text,2152058947,1
programming_nlp,1603773285,1
data_mining,1501998038,9
textual_database,1501998038,1
interesting_information,1501998038,1
software_engineering,1652999312,1
