word1,word2,PaperID,reuse
ha,simulate,4253608092,1
disease,language,4253608092,1
biomedical,information,4253608092,12
semantic,successfully,4253608092,1
language,unified,4253608092,1
disease,semantic,4253608092,1
ha,literature-based,4253608092,1
knowledge,swanson,4253608092,1
ha,tested,4253608092,4
ha,resulted,4253608092,1
medical,unified,4253608092,1
filter,information,4253608092,2
disease,medical,4253608092,2
biomedical,successfully,4253608092,1
knowledge,literature-based,4253608092,1
ha,oil,4253608092,1
ha,unified,4253608092,1
biomedical,tested,4253608092,1
filter,simulating,4253608092,1
disease,natural,4253608092,1
ha,medical,4253608092,4
biomedical,language,4253608092,2
biomedical,filter,4253608092,1
information,simulate,4253608092,1
disease,knowledge,4253608092,4
language,umls,4253608092,1
biomedical,semantic,4253608092,4
umls,unified,4253608092,1
information,literature-based,4253608092,1
natural,tested,4253608092,1
context,ha,4253608092,8
biomedical,disease,4253608092,2
disease,ha,4253608092,3
information,tested,4253608092,6
literature-based,medical,4253608092,1
language,successfully,4253608092,1
medical,umls,4253608092,2
knowledge,unified,4253608092,2
filter,language,4253608092,1
biomedical,medical,4253608092,1
biomedical,context,4253608092,2
natural,oil,4253608092,1
semantic,umls,4253608092,1
disease,literature-based,4253608092,1
ha,umls,4253608092,1
information,unified,4253608092,1
biomedical,knowledge,4253608092,5
disease,information,4253608092,2
biomedical,ha,4253608092,5
context,disease,4253608092,1
knowledge,umls,4253608092,2
successfully,swanson,4253608092,1
filter,natural,4253608092,1
biomedical,umls,4253608092,1
language,tested,4253608092,2
tested,umls,4253608092,1
experimentally,information,4253608092,2
knowledge,successfully,4253608092,2
natural,unified,4253608092,1
natural,umls,4253608092,1
filter,ha,4253608092,1
biomedical,natural,4253608092,2
context,tested,4253608092,1
medical,tested,4253608092,1
information,umls,4253608092,1
forum,language,2068649023,1
information,series,2068649023,3
european,proposal,2068649023,1
goal,language,2068649023,3
described,retrieval,2068649023,2
goal,organizing,2068649023,2
examined,forum,2068649023,1
described,information,2068649023,6
goal,series,2068649023,1
future,information,2068649023,3
running,series,2068649023,1
information,proposal,2068649023,4
difficulty,information,2068649023,2
described,european,2068649023,1
described,language,2068649023,5
language,organizing,2068649023,1
future,language,2068649023,1
retrieval,series,2068649023,1
language,series,2068649023,3
difficulty,language,2068649023,2
future,series,2068649023,1
organizing,retrieval,2068649023,1
goal,retrieval,2068649023,1
difficulty,series,2068649023,1
proposal,retrieval,2068649023,1
european,future,2068649023,1
goal,information,2068649023,4
examined,language,2068649023,1
described,future,2068649023,1
language,proposal,2068649023,1
language,running,2068649023,1
information,organizing,2068649023,2
european,examined,2068649023,1
difficulty,organizing,2068649023,1
formal,world,2166769854,1
generative,resource,2166769854,1
demand,semantic,2166769854,1
computational,lexicon,2166769854,2
ha,reached,2166769854,1
principle,term,2166769854,1
supply,world,2166769854,1
generative,lexicon,2166769854,1
compare,generative,2166769854,1
modern,term,2166769854,1
generative,term,2166769854,1
generative,lexical,2166769854,1
generalization,semantic,2166769854,1
